激光功率,图像名称,放大倍数,熔覆层平均晶粒尺寸(μm),析出相/碳化物面积占比(%),气孔孔隙率(%),微裂纹面积占比(%),组织占比总和_修正,组织占比误差(%),预测显微硬度(HV)_物理模型,预测抗拉强度(MPa)_物理模型,预测磨损速率(mg/h)_物理模型
900W,900-1000x(1).tif,1000,57.05,14.027,0.908,0.301,100.001,0.0010000000000047748,435.8731454797626,506.8305954341912,0.008071023840406063
900W,900-1000x(2).tif,1000,51.83,13.27,0.779,0.64,99.999,0.0010000000000047748,436.22286630940613,506.07934861203717,0.007760643257236646
900W,900-1000x(3).tif,1000,62.4,14.168,0.657,0.539,100.0,0.0,437.97880723593255,510.01406504459436,0.008077018218833804
900W,900-1000x(3.1).tif,1000,55.5,14.535,0.422,0.546,99.99900000000001,0.000999999999990564,444.53807827369417,518.347079197129,0.00761687535231832
900W,900-1000x(3.2).tif,1000,59.61,13.493,0.262,0.543,100.001,0.0010000000000047748,445.7064702168243,521.7895707513024,0.007658386659704037
900W,900-100x(1).tif,100,31.03,14.397,0.652,0.134,100.00000000000001,1.4210854715202004e-14,452.14639494752316,524.3294583237378,0.006674157780184077
900W,900-200x(1).tif,200,27.34,14.688,0.331,0.044,100.0,0.0,461.9378797330838,537.2599171383719,0.006210435317904273
900W,900-200x(2).tif,200,25.25,14.24,0.171,0.071,100.001,0.0010000000000047748,466.0022272309807,542.5240779704128,0.005963083063695135
900W,900-200x(3).tif,200,27.62,14.509,0.218,0.133,100.0,0.0,463.10410865068496,539.0520133605055,0.006137230596057601
900W,900-500(1).tif,100,53.28,14.461,0.522,0.443,100.0,0.0,443.8379284496703,517.2586841832389,0.007607050914114025
900W,900-500x(2).tif,500,45.7,14.122,0.409,0.493,100.0,0.0,447.52442161106484,521.3133912489628,0.007195410259510539
900W,900-500x(3.1).tif,500,44.42,13.301,0.356,0.127,100.0,0.0,451.0486822471604,528.156458080061,0.007101347168442923
900W,900-500x(3.2).tif,500,53.85,13.784,0.254,0.379,100.00000000000001,1.4210854715202004e-14,448.8438801757259,525.6992291597743,0.007420519505548755
900W,900-500x（3）.tif,500,24.77,13.756,0.5,0.408,100.0,0.0,456.5925449737549,527.5635005351731,0.006200722703393876
900W,900-50x.tif,50,44.46,14.796,0.008,0.05,100.00099999999998,0.0009999999999763531,460.2072065933864,540.7388480430819,0.006814772093662821
1200W,1200-1000x(1).tif,1000,77.3,14.234,0.272,0.163,100.0,0.0,446.1862233536607,525.3198701445933,0.008304185245147373
1200W,1200-1000x(2).tif,1000,44.21,13.623,0.205,0.361,100.0,0.0,452.6189181481769,529.4492537702015,0.006968889308324468
1200W,1200-1000x(3).tif,1000,52.4,12.56,0.194,0.368,100.0,0.0,449.1570204344478,527.101756296502,0.007321270205538232
1200W,1200-1000x(3.1).tif,1000,45.04,12.916,0.125,0.331,100.0,0.0,453.40406729943044,531.6051667814074,0.006947016631876735
1200W,1200-1000x(3.2).tif,1000,44.68,12.729,0.104,0.364,100.0,0.0,453.47099393735095,531.6994730387469,0.006915397371383098
1200W,1200-100x(1).tif,100,25.61,14.732,0.58,0.828,100.0,0.0,452.0025826740771,519.0117082473935,0.00630846798502298
1200W,1200-200x(1).tif,200,29.26,14.291,0.476,1.308,100.00000000000001,1.4210854715202004e-14,447.2324445299279,512.7319894977459,0.006437333605726638
1200W,1200-200x(2).tif,200,35.17,13.551,0.087,6.749,100.0,0.0,407.4417137082751,439.8541169883948,0.006443799586123287
1200W,1200-200x(3).tif,200,30.55,13.767,0.117,6.128,100.0,0.0,414.5037775325578,450.2604423344232,0.00622440372455476
1200W,1200-500x(1).tif,500,52.77,13.666,0.307,0.008,100.00099999999999,0.000999999999990564,450.9019594793545,529.8027142754424,0.007419339982975692
1200W,1200-500x(2).tif,500,44.36,12.372,0.215,0.057,100.0,0.0,453.41162381762393,532.8033324706287,0.006992328923653751
1200W,1200-500x(3).tif,500,37.99,14.46,0.125,0.05,99.99999999999999,1.4210854715202004e-14,459.9695994005972,538.8495688820816,0.006608030172078079
1200W,1200-50x.tif,50,75.83,14.927,0.004,0.087,100.0,0.0,453.0996555918518,535.1181941013258,0.008034847976304807
1500W,1500-1000x(1).tif,1000,52.35,13.798,0.572,0.217,100.0,0.0,444.1826667788545,518.8894341606447,0.00761306969516352
1500W,1500-1000x(2).tif,1000,53.94,13.728,0.34,0.294,100.0,0.0,447.7207382294673,524.3394220954895,0.0074933747876442984
1500W,1500-1000x(3).tif,1000,61.83,13.71,0.317,0.303,99.99999999999999,1.4210854715202004e-14,446.2925335210683,523.5346984244866,0.00778638818613348
1500W,1500-1000x(3.1).tif,1000,65.32,14.818,0.199,0.19,100.0,0.0,450.0414325276199,528.986658855662,0.007815976587279781
1500W,1500-1000x(3.2).tif,1000,62.2,13.734,0.347,0.218,100.00099999999999,0.000999999999990564,446.3226858750786,523.8690732303053,0.007824321537951097
1500W,1500-100x.tif,100,32.75,14.801,0.969,0.166,100.0,0.0,445.01781649804275,513.8871555945818,0.007016496603730372
1500W,1500-200x(1).tif,200,31.8,14.367,0.674,1.393,100.00000000000001,1.4210854715202004e-14,441.16540563814465,504.4366716621648,0.0067331701948470215
1500W,1500-200x(2).tif,200,26.27,14.574,0.605,0.431,100.0,0.0,454.01386745879825,523.73880973074,0.006368376543729543
1500W,1500-200x(3).tif,200,24.31,13.956,0.378,0.569,100.00000000000001,1.4210854715202004e-14,458.3378798147532,529.2266368486885,0.006073921677930231
1500W,1500-500(3.2).tif,100,44.11,13.674,0.207,0.004,100.00099999999999,0.000999999999990564,455.52421370527685,534.8043230732386,0.006965629719870927
