激光功率,图像名称,放大倍数,总像素,像素尺寸(μm/像素),校准来源,图像宽度(像素),图像高度(像素),通道数,视野宽度(μm),视野高度(μm),视野面积(μm²),相机型号,拍摄日期,总物理面积(μm²),背景/基体面积占比(%),背景/基体物理面积(μm²),熔覆层组织面积占比(%),熔覆层组织物理面积(μm²),析出相/碳化物面积占比(%),析出相/碳化物物理面积(μm²),气孔缺陷面积占比(%),气孔缺陷物理面积(μm²),裂纹缺陷面积占比(%),裂纹缺陷物理面积(μm²),气孔孔隙率(%),微裂纹面积占比(%),熔覆层平均晶粒尺寸(μm),熔覆层平均晶粒面积(μm²),基体稀释率(%)
900W,900-1000x(1).tif,1000,4915200,0.843205,XML元数据,2560,1920,3,2158.61,1618.95,3494681.76,AxioCamEL,2026/5/7 19:04:51,3494681.76,28.407,992737.9,53.852,1881962.77,14.923,521528.21,2.758,96384.59,0.059,2068.28,2.758,0.059,65.87,3407.36,34.53
900W,900-1000x(2).tif,1000,4915200,0.843205,XML元数据,2560,1920,3,2158.61,1618.95,3494681.76,AxioCamEL,2026/5/7 19:05:44,3494681.76,29.352,1025747.97,54.733,1912749.56,14.784,516643.68,1.036,36214.52,0.095,3326.03,1.036,0.095,65.23,3341.47,34.91
900W,900-1000x(3.1).tif,1000,4915200,0.843205,XML元数据,2560,1920,3,2158.61,1618.95,3494681.76,AxioCamEL,2026/5/7 19:06:41,3494681.76,29.184,1019901.46,54.722,1912372.73,14.208,496536.74,1.77,61840.2,0.115,4030.63,1.77,0.115,84.96,5668.78,34.78
900W,900-1000x(3.2).tif,1000,4915200,0.843205,XML元数据,2560,1920,3,2158.61,1618.95,3494681.76,AxioCamEL,2026/5/7 19:07:11,3494681.76,29.761,1040043.23,54.745,1913169.05,14.667,512575.37,0.642,22425.49,0.185,6468.63,0.642,0.185,80.24,5057.36,35.22
900W,900-100x(1).tif,100,4915200,0.843205,XML元数据,2560,1920,3,2158.61,1618.95,3494681.76,AxioCamEL,2026/5/7 18:56:03,3494681.76,28.148,983665.6,55.059,1924134.72,14.76,515828.17,1.922,67179.06,0.111,3874.21,1.922,0.111,35.57,993.77,33.83
900W,900-200x(1).tif,200,4915200,0.843205,XML元数据,2560,1920,3,2158.61,1618.95,3494681.76,AxioCamEL,2026/5/7 18:57:05,3494681.76,29.578,1033664.89,54.54,1905996.53,14.549,508456.57,0.911,31839.06,0.421,14724.7,0.911,0.421,32.45,827.22,35.16
900W,900-200x(2).tif,200,4915200,0.843205,XML元数据,2560,1920,3,2158.61,1618.95,3494681.76,AxioCamEL,2026/5/7 18:57:41,3494681.76,29.817,1042003.44,54.991,1921771.37,14.352,501552.1,0.208,7279.17,0.632,22075.68,0.208,0.632,28.22,625.64,35.16
900W,900-200x(3).tif,200,4915200,0.843205,XML元数据,2560,1920,3,2158.61,1618.95,3494681.76,AxioCamEL,2026/5/7 18:59:05,3494681.76,30.738,1074198.71,53.998,1887061.32,14.671,512709.74,0.165,5751.24,0.428,14960.75,0.165,0.428,29.91,702.43,36.28
900W,900-500(1).tif,100,4915200,0.843205,XML元数据,2560,1920,3,2158.61,1618.95,3494681.76,AxioCamEL,2026/5/7 19:00:37,3494681.76,29.032,1014581.08,55.728,1947502.99,14.204,496376.77,1.007,35203.49,0.029,1017.43,1.007,0.029,65.6,3379.43,34.25
900W,900-500x(2).tif,500,4915200,0.843205,XML元数据,2560,1920,3,2158.61,1618.95,3494681.76,AxioCamEL,2026/5/7 19:01:49,3494681.76,30.515,1066385.59,55.285,1932037.43,13.729,479786.42,0.463,16195.04,0.008,277.29,0.463,0.008,52.89,2196.75,35.56
