"ZView Export Data File: Version 3.1"
"Export From File: C:\Users\Hildy\Desktop\新建文件夹\1500-EIS.txt"
"Date/Time:  2026/5/1 19:53:59"
" "
" "
"C:\Users\Hildy\Desktop\新建文件夹\1500-原数据.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	4.7666E+01	1.1883E+01	1.0000E+05	4.9125E+01	1.3998E+01
1	7.943282E+04	4.6784E+01	8.8560E+00	7.9433E+04	4.7614E+01	1.0719E+01
2	6.309573E+04	4.6423E+01	6.7903E+00	6.3096E+04	4.6917E+01	8.3217E+00
3	5.011872E+04	4.6130E+01	5.0049E+00	5.0119E+04	4.6401E+01	6.1921E+00
4	3.981072E+04	4.5966E+01	3.7341E+00	3.9811E+04	4.6117E+01	4.6443E+00
5	3.162278E+04	4.5981E+01	2.6693E+00	3.1623E+04	4.6058E+01	3.3224E+00
6	2.511887E+04	4.5931E+01	1.6202E+00	2.5119E+04	4.5960E+01	2.0202E+00
7	1.995262E+04	4.5957E+01	9.9963E-01	1.9953E+04	4.5967E+01	1.2461E+00
8	1.584893E+04	4.6137E+01	4.3882E-01	1.5849E+04	4.6139E+01	5.4494E-01
9	1.258925E+04	4.6101E+01	-2.9786E-01	1.2589E+04	4.6102E+01	-3.7018E-01
10	1.000000E+04	4.6321E+01	-7.5967E-01	1.0000E+04	4.6328E+01	-9.3957E-01
11	7.943282E+03	4.6335E+01	-1.4098E+00	7.9433E+03	4.6356E+01	-1.7427E+00
12	6.309573E+03	4.6728E+01	-2.1189E+00	6.3096E+03	4.6776E+01	-2.5964E+00
13	5.011873E+03	4.6873E+01	-2.9473E+00	5.0119E+03	4.6966E+01	-3.5979E+00
14	3.981072E+03	4.7420E+01	-3.5165E+00	3.9811E+03	4.7550E+01	-4.2411E+00
15	3.162278E+03	4.7520E+01	-4.2507E+00	3.1623E+03	4.7710E+01	-5.1116E+00
16	2.511886E+03	4.7943E+01	-5.0442E+00	2.5119E+03	4.8207E+01	-6.0062E+00
17	1.995262E+03	4.8417E+01	-6.0876E+00	1.9953E+03	4.8798E+01	-7.1664E+00
18	1.584893E+03	4.9029E+01	-7.2476E+00	1.5849E+03	4.9562E+01	-8.4087E+00
19	1.258925E+03	4.9722E+01	-8.6346E+00	1.2589E+03	5.0466E+01	-9.8516E+00
20	1.000000E+03	5.0487E+01	-1.0081E+01	1.0000E+03	5.1484E+01	-1.1292E+01
21	7.943282E+02	5.1355E+01	-1.1858E+01	7.9433E+02	5.2706E+01	-1.3002E+01
22	6.309573E+02	5.2384E+01	-1.4000E+01	6.3096E+02	5.4223E+01	-1.4963E+01
23	5.011872E+02	5.3584E+01	-1.6373E+01	5.0119E+02	5.6029E+01	-1.6991E+01
24	3.981072E+02	5.5023E+01	-1.9272E+01	3.9811E+02	5.8300E+01	-1.9303E+01
25	3.162278E+02	5.6679E+01	-2.3102E+01	3.1623E+02	6.1206E+01	-2.2176E+01
