"ZView Export Data File: Version 3.1"
"Export From File: FitResult"
"Date/Time:  2026/5/1 19:54:12"
" "
" "
"C:\Users\Hildy\Desktop\新建文件夹\1500-拟合数据.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+04	4.6897E+01	-1.7229E+00	1.0000E+04	4.6929E+01	-2.1040E+00
1	7.943282E+03	4.7032E+01	-2.0478E+00	7.9433E+03	4.7076E+01	-2.4931E+00
2	6.309573E+03	4.7192E+01	-2.4339E+00	6.3096E+03	4.7254E+01	-2.9524E+00
3	5.011873E+03	4.7382E+01	-2.8928E+00	5.0119E+03	4.7471E+01	-3.4937E+00
4	3.981072E+03	4.7609E+01	-3.4381E+00	3.9811E+03	4.7733E+01	-4.1304E+00
5	3.162278E+03	4.7879E+01	-4.0860E+00	3.1623E+03	4.8053E+01	-4.8778E+00
6	2.511886E+03	4.8200E+01	-4.8559E+00	2.5119E+03	4.8444E+01	-5.7528E+00
7	1.995262E+03	4.8582E+01	-5.7705E+00	1.9953E+03	4.8923E+01	-6.7738E+00
8	1.584893E+03	4.9036E+01	-6.8570E+00	1.5849E+03	4.9514E+01	-7.9603E+00
9	1.258925E+03	4.9578E+01	-8.1476E+00	1.2589E+03	5.0243E+01	-9.3325E+00
10	1.000000E+03	5.0223E+01	-9.6803E+00	1.0000E+03	5.1148E+01	-1.0910E+01
11	7.943282E+02	5.0992E+01	-1.1500E+01	7.9433E+02	5.2273E+01	-1.2709E+01
12	6.309573E+02	5.1909E+01	-1.3661E+01	6.3096E+02	5.3676E+01	-1.4744E+01
13	5.011872E+02	5.3002E+01	-1.6225E+01	5.0119E+02	5.5430E+01	-1.7020E+01
14	3.981072E+02	5.4307E+01	-1.9268E+01	3.9811E+02	5.7624E+01	-1.9534E+01
15	3.162278E+02	5.5866E+01	-2.2876E+01	3.1623E+02	6.0368E+01	-2.2268E+01
16	2.511886E+02	5.7730E+01	-2.7154E+01	2.5119E+02	6.3797E+01	-2.5191E+01
17	1.995262E+02	5.9960E+01	-3.2224E+01	1.9953E+02	6.8070E+01	-2.8254E+01
18	1.584893E+02	6.2632E+01	-3.8227E+01	1.5849E+02	7.3376E+01	-3.1397E+01
19	1.258925E+02	6.5836E+01	-4.5330E+01	1.2589E+02	7.9932E+01	-3.4548E+01
20	1.000000E+02	6.9685E+01	-5.3726E+01	1.0000E+02	8.7991E+01	-3.7632E+01
21	7.943282E+01	7.4314E+01	-6.3641E+01	7.9433E+01	9.7840E+01	-4.0576E+01
22	6.309573E+01	7.9890E+01	-7.5331E+01	6.3096E+01	1.0981E+02	-4.3317E+01
23	5.011872E+01	8.6620E+01	-8.9091E+01	5.0119E+01	1.2426E+02	-4.5806E+01
24	3.981072E+01	9.4753E+01	-1.0525E+02	3.9811E+01	1.4162E+02	-4.8005E+01
25	3.162278E+01	1.0460E+02	-1.2419E+02	3.1623E+01	1.6237E+02	-4.9894E+01
26	2.511886E+01	1.1653E+02	-1.4629E+02	2.5119E+01	1.8703E+02	-5.1461E+01
27	1.995262E+01	1.3099E+02	-1.7200E+02	1.9953E+01	2.1620E+02	-5.2709E+01
28	1.584893E+01	1.4851E+02	-2.0176E+02	1.5849E+01	2.5052E+02	-5.3644E+01
29	1.258925E+01	1.6969E+02	-2.3600E+02	1.2589E+01	2.9067E+02	-5.4282E+01
30	1.000000E+01	1.9521E+02	-2.7515E+02	1.0000E+01	3.3736E+02	-5.4646E+01
31	7.943282E+00	2.2574E+02	-3.1961E+02	7.9433E+00	3.9129E+02	-5.4767E+01
32	6.309574E+00	2.6193E+02	-3.6979E+02	6.3096E+00	4.5316E+02	-5.4689E+01
33	5.011872E+00	3.0437E+02	-4.2620E+02	5.0119E+00	5.2372E+02	-5.4468E+01
34	3.981072E+00	3.5354E+02	-4.8962E+02	3.9811E+00	6.0392E+02	-5.4168E+01
35	3.162278E+00	4.1009E+02	-5.6135E+02	3.1623E+00	6.9519E+02	-5.3850E+01
36	2.511886E+00	4.7517E+02	-6.4323E+02	2.5119E+00	7.9971E+02	-5.3546E+01
37	1.995262E+00	5.5099E+02	-7.3749E+02	1.9953E+00	9.2058E+02	-5.3236E+01
38	1.584893E+00	6.4126E+02	-8.4605E+02	1.5849E+00	1.0616E+03	-5.2840E+01
39	1.258925E+00	7.5115E+02	-9.6966E+02	1.2589E+00	1.2266E+03	-5.2237E+01
40	1.000000E+00	8.8675E+02	-1.1070E+03	1.0000E+00	1.4184E+03	-5.1305E+01
41	7.943282E-01	1.0542E+03	-1.2542E+03	7.9433E-01	1.6384E+03	-4.9953E+01
42	6.309574E-01	1.2585E+03	-1.4046E+03	6.3096E-01	1.8859E+03	-4.8140E+01
43	5.011872E-01	1.5025E+03	-1.5490E+03	5.0119E-01	2.1580E+03	-4.5872E+01
44	3.981072E-01	1.7856E+03	-1.6765E+03	3.9811E-01	2.4492E+03	-4.3195E+01
45	3.162278E-01	2.1028E+03	-1.7759E+03	3.1623E-01	2.7524E+03	-4.0182E+01
46	2.511886E-01	2.4450E+03	-1.8375E+03	2.5119E-01	3.0585E+03	-3.6926E+01
47	1.995262E-01	2.7994E+03	-1.8552E+03	1.9953E-01	3.3583E+03	-3.3534E+01
48	1.584893E-01	3.1515E+03	-1.8276E+03	1.5849E-01	3.6430E+03	-3.0110E+01
49	1.258925E-01	3.4875E+03	-1.7582E+03	1.2589E-01	3.9057E+03	-2.6754E+01
50	1.000000E-01	3.7967E+03	-1.6547E+03	1.0000E-01	4.1416E+03	-2.3549E+01
51	7.943282E-02	4.0718E+03	-1.5270E+03	7.9433E-02	4.3487E+03	-2.0557E+01
52	6.309573E-02	4.3098E+03	-1.3852E+03	6.3096E-02	4.5270E+03	-1.7818E+01
53	5.011872E-02	4.5113E+03	-1.2385E+03	5.0119E-02	4.6783E+03	-1.5352E+01
