"ZView Export Data File: Version 3.1"
"Export From File: C:\Users\Hildy\Desktop\新建文件夹\1800-EIS.txt"
"Date/Time:  2026/5/1 19:57:07"
" "
" "
"C:\Users\Hildy\Desktop\新建文件夹\1800-EIS-原数据.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	4.9282E+01	1.2301E+01	1.0000E+05	5.0794E+01	1.4015E+01
1	7.943282E+04	4.8557E+01	9.2759E+00	7.9433E+04	4.9435E+01	1.0815E+01
2	6.309573E+04	4.8101E+01	7.1651E+00	6.3096E+04	4.8632E+01	8.4724E+00
3	5.011872E+04	4.8074E+01	5.5264E+00	5.0119E+04	4.8391E+01	6.5576E+00
4	3.981072E+04	4.7968E+01	4.1725E+00	3.9811E+04	4.8149E+01	4.9713E+00
5	3.162278E+04	4.7925E+01	3.0653E+00	3.1623E+04	4.8023E+01	3.6597E+00
6	2.511887E+04	4.7850E+01	2.5750E+00	2.5119E+04	4.7919E+01	3.0803E+00
7	1.995262E+04	4.7843E+01	1.5309E+00	1.9953E+04	4.7868E+01	1.8327E+00
8	1.584893E+04	4.7794E+01	8.4927E-01	1.5849E+04	4.7802E+01	1.0180E+00
9	1.258925E+04	4.7878E+01	3.2232E-01	1.2589E+04	4.7880E+01	3.8571E-01
10	1.000000E+04	4.7922E+01	-1.1225E-01	1.0000E+04	4.7922E+01	-1.3421E-01
11	7.943282E+03	4.7998E+01	-5.5940E-01	7.9433E+03	4.8001E+01	-6.6773E-01
12	6.309573E+03	4.8160E+01	-1.1520E+00	6.3096E+03	4.8173E+01	-1.3703E+00
13	5.011873E+03	4.8118E+01	-1.6900E+00	5.0119E+03	4.8148E+01	-2.0115E+00
14	3.981072E+03	4.8675E+01	-2.1014E+00	3.9811E+03	4.8720E+01	-2.4720E+00
15	3.162278E+03	4.8602E+01	-2.7710E+00	3.1623E+03	4.8681E+01	-3.2631E+00
16	2.511886E+03	4.8895E+01	-3.4218E+00	2.5119E+03	4.9014E+01	-4.0032E+00
17	1.995262E+03	4.9232E+01	-4.2274E+00	1.9953E+03	4.9413E+01	-4.9078E+00
18	1.584893E+03	4.9620E+01	-5.1212E+00	1.5849E+03	4.9883E+01	-5.8926E+00
19	1.258925E+03	5.0076E+01	-6.1016E+00	1.2589E+03	5.0446E+01	-6.9471E+00
20	1.000000E+03	5.0631E+01	-7.2713E+00	1.0000E+03	5.1150E+01	-8.1726E+00
21	7.943282E+02	5.1237E+01	-8.6074E+00	7.9433E+02	5.1955E+01	-9.5361E+00
22	6.309573E+02	5.1934E+01	-1.0323E+01	6.3096E+02	5.2950E+01	-1.1243E+01
23	5.011872E+02	5.2849E+01	-1.2050E+01	5.0119E+02	5.4205E+01	-1.2844E+01
24	3.981072E+02	5.4129E+01	-1.4263E+01	3.9811E+02	5.5976E+01	-1.4762E+01
25	3.162278E+02	5.5239E+01	-1.7074E+01	3.1623E+02	5.7818E+01	-1.7176E+01
26	2.511886E+02	5.6474E+01	-1.9909E+01	2.5119E+02	5.9880E+01	-1.9419E+01
