"ZView Export Data File: Version 3.1"
"Export From File: FitResult"
"Date/Time:  2026/5/1 19:51:24"
" "
" "
"C:\Users\Hildy\Desktop\新建文件夹\900-EIS-拟合数据.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+04	4.8111E+01	-2.5053E+00	1.0000E+04	4.8176E+01	-2.9809E+00
1	7.943282E+03	4.8368E+01	-2.8984E+00	7.9433E+03	4.8454E+01	-3.4293E+00
2	6.309573E+03	4.8665E+01	-3.3528E+00	6.3096E+03	4.8781E+01	-3.9411E+00
3	5.011873E+03	4.9010E+01	-3.8780E+00	5.0119E+03	4.9163E+01	-4.5242E+00
4	3.981072E+03	4.9409E+01	-4.4850E+00	3.9811E+03	4.9612E+01	-5.1867E+00
5	3.162278E+03	4.9872E+01	-5.1863E+00	3.1623E+03	5.0141E+01	-5.9370E+00
6	2.511886E+03	5.0408E+01	-5.9964E+00	2.5119E+03	5.0764E+01	-6.7838E+00
7	1.995262E+03	5.1030E+01	-6.9317E+00	1.9953E+03	5.1499E+01	-7.7355E+00
8	1.584893E+03	5.1751E+01	-8.0113E+00	1.5849E+03	5.2368E+01	-8.7998E+00
9	1.258925E+03	5.2587E+01	-9.2568E+00	1.2589E+03	5.3396E+01	-9.9834E+00
10	1.000000E+03	5.3558E+01	-1.0693E+01	1.0000E+03	5.4615E+01	-1.1291E+01
11	7.943282E+02	5.4683E+01	-1.2348E+01	7.9433E+02	5.6060E+01	-1.2724E+01
12	6.309573E+02	5.5991E+01	-1.4254E+01	6.3096E+02	5.7776E+01	-1.4283E+01
13	5.011872E+02	5.7508E+01	-1.6447E+01	5.0119E+02	5.9814E+01	-1.5960E+01
14	3.981072E+02	5.9272E+01	-1.8968E+01	3.9811E+02	6.2233E+01	-1.7745E+01
15	3.162278E+02	6.1321E+01	-2.1862E+01	3.1623E+02	6.5102E+01	-1.9622E+01
16	2.511886E+02	6.3705E+01	-2.5181E+01	2.5119E+02	6.8501E+01	-2.1568E+01
17	1.995262E+02	6.6477E+01	-2.8982E+01	1.9953E+02	7.2520E+01	-2.3556E+01
18	1.584893E+02	6.9703E+01	-3.3326E+01	1.5849E+02	7.7260E+01	-2.5553E+01
19	1.258925E+02	7.3459E+01	-3.8281E+01	1.2589E+02	8.2836E+01	-2.7525E+01
20	1.000000E+02	7.7835E+01	-4.3920E+01	1.0000E+02	8.9371E+01	-2.9435E+01
21	7.943282E+01	8.2932E+01	-5.0319E+01	7.9433E+01	9.7003E+01	-3.1247E+01
22	6.309573E+01	8.8872E+01	-5.7556E+01	6.3096E+01	1.0588E+02	-3.2928E+01
23	5.011872E+01	9.5793E+01	-6.5709E+01	5.0119E+01	1.1616E+02	-3.4448E+01
24	3.981072E+01	1.0386E+02	-7.4855E+01	3.9811E+01	1.2802E+02	-3.5783E+01
25	3.162278E+01	1.1324E+02	-8.5058E+01	3.1623E+01	1.4163E+02	-3.6911E+01
26	2.511886E+01	1.2416E+02	-9.6371E+01	2.5119E+01	1.5717E+02	-3.7818E+01
27	1.995262E+01	1.3683E+02	-1.0882E+02	1.9953E+01	1.7483E+02	-3.8495E+01
28	1.584893E+01	1.5152E+02	-1.2241E+02	1.5849E+01	1.9479E+02	-3.8936E+01
29	1.258925E+01	1.6847E+02	-1.3710E+02	1.2589E+01	2.1721E+02	-3.9137E+01
30	1.000000E+01	1.8798E+02	-1.5278E+02	1.0000E+01	2.4223E+02	-3.9102E+01
31	7.943282E+00	2.1030E+02	-1.6929E+02	7.9433E+00	2.6997E+02	-3.8835E+01
32	6.309574E+00	2.3567E+02	-1.8641E+02	6.3096E+00	3.0048E+02	-3.8344E+01
33	5.011872E+00	2.6429E+02	-2.0382E+02	5.0119E+00	3.3375E+02	-3.7639E+01
34	3.981072E+00	2.9628E+02	-2.2114E+02	3.9811E+00	3.6971E+02	-3.6737E+01
35	3.162278E+00	3.3167E+02	-2.3794E+02	3.1623E+00	4.0819E+02	-3.5655E+01
36	2.511886E+00	3.7036E+02	-2.5374E+02	2.5119E+00	4.4895E+02	-3.4416E+01
37	1.995262E+00	4.1211E+02	-2.6807E+02	1.9953E+00	4.9163E+02	-3.3043E+01
38	1.584893E+00	4.5656E+02	-2.8051E+02	1.5849E+00	5.3584E+02	-3.1566E+01
39	1.258925E+00	5.0319E+02	-2.9069E+02	1.2589E+00	5.8112E+02	-3.0015E+01
40	1.000000E+00	5.5143E+02	-2.9841E+02	1.0000E+00	6.2700E+02	-2.8420E+01
41	7.943282E-01	6.0065E+02	-3.0357E+02	7.9433E-01	6.7300E+02	-2.6812E+01
42	6.309574E-01	6.5020E+02	-3.0623E+02	6.3096E-01	7.1870E+02	-2.5220E+01
43	5.011872E-01	6.9950E+02	-3.0661E+02	5.0119E-01	7.6375E+02	-2.3670E+01
44	3.981072E-01	7.4806E+02	-3.0502E+02	3.9811E-01	8.0786E+02	-2.2183E+01
