"ZView Export Data File: Version 3.1"
"Export From File: C:\Users\Hildy\Desktop\新建文件夹\Q335-EIS.txt"
"Date/Time:  2026/5/1 19:59:17"
" "
" "
"C:\Users\Hildy\Desktop\新建文件夹\Q335-EIS-原数据.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1.000000E+05	4.6570E+01	1.1419E+01	1.0000E+05	4.7949E+01	1.3777E+01
1	7.943282E+04	4.6324E+01	8.9679E+00	7.9433E+04	4.7184E+01	1.0956E+01
2	6.309573E+04	4.5907E+01	6.9120E+00	6.3096E+04	4.6424E+01	8.5625E+00
3	5.011872E+04	4.5698E+01	5.3523E+00	5.0119E+04	4.6011E+01	6.6802E+00
4	3.981072E+04	4.5812E+01	4.2093E+00	3.9811E+04	4.6005E+01	5.2496E+00
5	3.162278E+04	4.5535E+01	3.1943E+00	3.1623E+04	4.5647E+01	4.0127E+00
6	2.511887E+04	4.5632E+01	2.3576E+00	2.5119E+04	4.5693E+01	2.9576E+00
7	1.995262E+04	4.5530E+01	1.8681E+00	1.9953E+04	4.5568E+01	2.3495E+00
8	1.584893E+04	4.5540E+01	1.3799E+00	1.5849E+04	4.5561E+01	1.7356E+00
9	1.258925E+04	4.5559E+01	6.1206E-01	1.2589E+04	4.5563E+01	7.6969E-01
10	1.000000E+04	4.5598E+01	4.4168E-01	1.0000E+04	4.5601E+01	5.5496E-01
11	7.943282E+03	4.5708E+01	2.0458E-01	7.9433E+03	4.5708E+01	2.5645E-01
12	6.309573E+03	4.6114E+01	-4.2688E-01	6.3096E+03	4.6116E+01	-5.3038E-01
13	5.011873E+03	4.5954E+01	-5.1044E-01	5.0119E+03	4.5957E+01	-6.3639E-01
14	3.981072E+03	4.6387E+01	-1.0455E+00	3.9811E+03	4.6399E+01	-1.2912E+00
15	3.162278E+03	4.6260E+01	-1.4445E+00	3.1623E+03	4.6283E+01	-1.7885E+00
16	2.511886E+03	4.6308E+01	-2.1836E+00	2.5119E+03	4.6360E+01	-2.6997E+00
17	1.995262E+03	4.6484E+01	-2.2983E+00	1.9953E+03	4.6541E+01	-2.8306E+00
18	1.584893E+03	4.6715E+01	-2.9102E+00	1.5849E+03	4.6806E+01	-3.5647E+00
19	1.258925E+03	4.6940E+01	-3.5961E+00	1.2589E+03	4.7078E+01	-4.3810E+00
20	1.000000E+03	4.7257E+01	-4.2926E+00	1.0000E+03	4.7451E+01	-5.1903E+00
21	7.943282E+02	4.7584E+01	-5.1321E+00	7.9433E+02	4.7860E+01	-6.1558E+00
22	6.309573E+02	4.8077E+01	-6.2142E+00	6.3096E+02	4.8477E+01	-7.3649E+00
23	5.011872E+02	4.8637E+01	-7.3728E+00	5.0119E+02	4.9192E+01	-8.6197E+00
24	3.981072E+02	4.9252E+01	-8.6617E+00	3.9811E+02	5.0008E+01	-9.9742E+00
25	3.162278E+02	5.0051E+01	-1.0285E+01	3.1623E+02	5.1097E+01	-1.1612E+01
26	2.511886E+02	5.0829E+01	-1.2381E+01	2.5119E+02	5.2315E+01	-1.3690E+01
27	1.995262E+02	5.1777E+01	-1.4492E+01	1.9953E+02	5.3767E+01	-1.5636E+01
28	1.584893E+02	5.3090E+01	-1.7076E+01	1.5849E+02	5.5768E+01	-1.7830E+01
29	1.258925E+02	5.4468E+01	-2.0203E+01	1.2589E+02	5.8094E+01	-2.0351E+01
30	1.000000E+02	5.6092E+01	-2.4174E+01	1.0000E+02	6.1080E+01	-2.3314E+01
31	7.943282E+01	5.7946E+01	-2.8566E+01	7.9433E+01	6.4605E+01	-2.6242E+01
32	6.309573E+01	6.0512E+01	-3.3460E+01	6.3096E+01	6.9147E+01	-2.8940E+01
33	5.011872E+01	6.3486E+01	-3.9527E+01	5.0119E+01	7.4786E+01	-3.1906E+01
34	3.981072E+01	6.6687E+01	-4.7775E+01	3.9811E+01	8.2034E+01	-3.5618E+01
35	3.162278E+01	7.0991E+01	-5.5657E+01	3.1623E+01	9.0208E+01	-3.8097E+01
36	2.511886E+01	7.6607E+01	-6.6322E+01	2.5119E+01	1.0133E+02	-4.0884E+01
37	1.995262E+01	8.3616E+01	-7.9296E+01	1.9953E+01	1.1524E+02	-4.3481E+01
38	1.584893E+01	9.2096E+01	-9.2358E+01	1.5849E+01	1.3043E+02	-4.5081E+01
39	1.258925E+01	1.0281E+02	-1.0867E+02	1.2589E+01	1.4960E+02	-4.6589E+01
40	1.000000E+01	1.1610E+02	-1.2650E+02	1.0000E+01	1.7170E+02	-4.7456E+01
41	7.943282E+00	1.3336E+02	-1.4691E+02	7.9433E+00	1.9841E+02	-4.7768E+01
42	6.309574E+00	1.5463E+02	-1.6894E+02	6.3096E+00	2.2902E+02	-4.7532E+01
43	5.011872E+00	1.8088E+02	-1.9207E+02	5.0119E+00	2.6384E+02	-4.6718E+01
44	3.981072E+00	2.1346E+02	-2.1547E+02	3.9811E+00	3.0330E+02	-4.5269E+01
45	3.162278E+00	2.5315E+02	-2.3865E+02	3.1623E+00	3.4791E+02	-4.3311E+01
46	2.511886E+00	2.9669E+02	-2.5615E+02	2.5119E+00	3.9197E+02	-4.0806E+01
