"ZView Export Data File: Version 3.1"
"Export From File: FitResult"
"Date/Time:  2026/5/1 19:59:28"
" "
" "
"C:\Users\Hildy\Desktop\新建文件夹\Q335-EIS-拟合数据.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	6.309573E+03	4.6619E+01	-8.9263E-01	6.3096E+03	4.6627E+01	-1.0969E+00
1	5.011873E+03	4.6679E+01	-1.0721E+00	5.0119E+03	4.6691E+01	-1.3157E+00
2	3.981072E+03	4.6751E+01	-1.2876E+00	3.9811E+03	4.6769E+01	-1.5776E+00
3	3.162278E+03	4.6838E+01	-1.5463E+00	3.1623E+03	4.6863E+01	-1.8909E+00
4	2.511886E+03	4.6942E+01	-1.8570E+00	2.5119E+03	4.6979E+01	-2.2654E+00
5	1.995262E+03	4.7068E+01	-2.2299E+00	1.9953E+03	4.7121E+01	-2.7125E+00
6	1.584893E+03	4.7220E+01	-2.6776E+00	1.5849E+03	4.7296E+01	-3.2455E+00
7	1.258925E+03	4.7403E+01	-3.2149E+00	1.2589E+03	4.7511E+01	-3.8799E+00
8	1.000000E+03	4.7623E+01	-3.8596E+00	1.0000E+03	4.7779E+01	-4.6334E+00
9	7.943282E+02	4.7889E+01	-4.6331E+00	7.9433E+02	4.8113E+01	-5.5259E+00
10	6.309573E+02	4.8211E+01	-5.5607E+00	6.3096E+02	4.8530E+01	-6.5795E+00
11	5.011872E+02	4.8599E+01	-6.6729E+00	5.0119E+02	4.9055E+01	-7.8181E+00
12	3.981072E+02	4.9070E+01	-8.0060E+00	3.9811E+02	4.9719E+01	-9.2663E+00
13	3.162278E+02	4.9642E+01	-9.6028E+00	3.1623E+02	5.0562E+01	-1.0948E+01
14	2.511886E+02	5.0336E+01	-1.1515E+01	2.5119E+02	5.1636E+01	-1.2885E+01
15	1.995262E+02	5.1181E+01	-1.3802E+01	1.9953E+02	5.3009E+01	-1.5092E+01
16	1.584893E+02	5.2213E+01	-1.6536E+01	1.5849E+02	5.4769E+01	-1.7573E+01
17	1.258925E+02	5.3475E+01	-1.9801E+01	1.2589E+02	5.7023E+01	-2.0319E+01
18	1.000000E+02	5.5023E+01	-2.3693E+01	1.0000E+02	5.9908E+01	-2.3297E+01
